Date,Close,High,Low,Open,Volume,Day,Ticker
2015-12-28,205.21,205.25,203.95,204.86,138699,249.0,SPY
2015-12-29,207.4,207.78,206.48,206.53,206232,250.0,SPY
2015-12-30,205.93,207.2,205.76,207.09,125100,251.0,SPY
2015-12-31,203.87,205.89,203.88,205.17,225668,252.0,SPY
2016-01-04,201.02,201.03,198.59,200.53,417920,1.0,SPY
2016-01-05,201.36,201.9,200.05,201.39,245652,2.0,SPY
2016-01-06,198.82,200.05,197.6,198.33,314611,3.0,SPY
2016-01-07,194.05,197.43,193.59,195.32,464606,4.0,SPY
2016-01-08,191.925,195.85,191.58,195.21,401758,5.0,SPY
2016-01-11,192.11,193.41,189.83,193.05,342005,6.0,SPY
2016-01-12,193.66,194.54,191.14,193.85,324896,7.0,SPY
2016-01-13,188.83,194.86,188.38,194.53,436676,8.0,SPY
2016-01-14,191.93,193.26,187.66,189.55,476076,9.0,SPY
2016-01-15,187.81,188.76,185.52,186.79,605916,10.0,SPY
2016-01-19,188.06,190.11,186.21,189.95,372975,11.0,SPY
2016-01-20,185.65,187.49,181.02,185.03,600233,12.0,SPY
2016-01-21,186.69,188.87,184.65,186.19,338962,13.0,SPY
2016-01-22,190.52,190.76,188.88,189.78,372067,14.0,SPY
2016-01-25,187.64,190.15,187.41,189.91,248228,15.0,SPY
2016-01-26,190.2,190.53,188.03,188.44,316385,16.0,SPY
2016-01-27,188.13,191.55,187.06,189.58,431537,17.0,SPY
2016-01-28,189.11,190.2,187.16,190.0,321776,18.0,SPY
2016-01-29,193.72,193.75,189.88,190.03,485060,19.0,SPY
2016-02-01,193.65,194.58,191.84,192.5,288080,20.0,SPY
2016-02-02,190.16,191.96,189.55,191.9,377079,21.0,SPY
2016-02-03,191.3,191.78,187.11,191.37,475111,22.0,SPY
2016-02-04,191.6,192.74,189.96,190.72,338027,23.0,SPY
2016-02-05,187.95,191.08,187.2,190.97,413512,24.0,SPY
2016-02-08,185.42,186.11,182.81,185.75,446014,25.0,SPY
2016-02-09,185.43,186.93,183.2,183.38,371837,26.0,SPY
2016-02-10,185.27,188.32,185.12,186.44,346337,27.0,SPY
2016-02-11,182.86,184.1,181.13,182.38,462757,28.0,SPY
2016-02-12,186.63,186.65,183.97,184.93,287365,29.0,SPY
2016-02-16,189.78,189.78,187.64,188.78,235084,30.0,SPY
2016-02-17,192.88,193.32,191.01,191.16,308277,31.0,SPY
2016-02-18,192.09,193.27,191.72,193.22,253728,32.0,SPY
2016-02-19,192.0,192.18,190.45,191.15,219097,33.0,SPY
2016-02-22,194.78,194.95,193.79,193.87,210246,34.0,SPY
2016-02-23,192.32,194.32,192.19,193.99,227576,35.0,SPY
2016-02-24,193.2,193.53,189.32,190.62,333246,36.0,SPY
2016-02-25,195.54,195.53,192.83,193.73,265103,37.0,SPY
2016-02-26,195.09,196.67,194.9,196.52,244207,38.0,SPY
2016-02-29,193.56,196.23,193.45,195.08,250854,39.0,SPY
2016-03-01,198.11,198.18,194.46,195.05,323300,40.0,SPY
2016-03-02,199.0,199.06,197.25,197.7,211669,41.0,SPY
2016-03-03,199.775,199.79,198.11,198.7,205428,42.0,SPY
2016-03-04,200.43,201.35,199.03,200.0,283660,43.0,SPY
2016-03-07,200.59,201.07,199.26,199.4,208232,44.0,SPY
2016-03-08,198.4,199.92,198.21,199.3,288315,45.0,SPY
2016-03-09,199.38,199.79,198.43,199.36,199943,46.0,SPY
2016-03-10,199.54,201.06,197.38,199.9,372268,47.0,SPY
2016-03-11,202.76,202.81,201.12,201.25,320182,48.0,SPY
2016-03-14,202.5,203.03,201.77,202.2,189480,49.0,SPY
2016-03-15,202.17,202.19,201.06,201.32,205674,50.0,SPY
2016-03-16,203.34,203.82,201.56,201.62,292740,51.0,SPY
2016-03-17,204.63,205.22,202.77,203.26,285666,52.0,SPY
2016-03-18,204.38,204.78,203.8,204.2,279438,53.0,SPY
2016-03-21,204.67,204.94,203.8,204.11,146196,54.0,SPY
2016-03-22,204.56,205.23,203.58,203.74,205164,55.0,SPY
2016-03-23,203.21,204.33,203.01,204.11,188818,56.0,SPY
2016-03-24,203.12,203.16,201.74,201.98,179398,57.0,SPY
2016-03-28,203.24,203.86,202.7,203.62,144513,58.0,SPY
2016-03-29,205.12,205.21,202.41,202.75,259024,59.0,SPY
2016-03-30,206.02,206.87,205.6,206.35,194795,60.0,SPY
2016-03-31,205.52,206.41,205.33,205.87,200187,61.0,SPY
2016-04-01,206.92,207.14,203.98,204.35,266520,62.0,SPY
2016-04-04,206.25,207.07,205.89,206.84,138539,63.0,SPY
2016-04-05,204.19,205.25,203.89,204.64,195063,64.0,SPY
2016-04-06,206.42,206.49,203.98,204.27,228974,65.0,SPY
2016-04-07,203.95,205.56,203.09,205.18,267744,66.0,SPY
